ID,Fecha Liturgica / Mortalidad,Nombre del Santo,Fecha de Nacimiento,Fecha de Mortalidad,Pais de Origen,Ciudad o Region,Realidad a la que pertenecio,Historia y Biografia,Detalles Curiosos o Significativos,Hijos en la fe
"155","11/Diciembre","San Dámaso I","305 d.C.","11/12/384","España / Italia","Roma","Papa de la Iglesia Católica","Pontífice hispano-romano que encomendó a San Jerónimo la traducción de la Biblia Vulgata. Descubrió, restauró y adornó con hermosos epigramas poéticos las tumbas de los mártires en las catacumbas.","Fijó el canon oficial latino de los Libros Sagrados.","—"
"156","12/Diciembre","Nuestra Señora de Guadalupe","—","—","México","Ciudad de México (Cerro del Tepeyac)","Solemnidad / Emperatriz de América","Aparición de la Madre de Dios al indio San Juan Diego en 1531 dejando grabada su imagen mestiza en la tilma, desencadenando la más grande y rápida conversión de millones de indígenas a la fe católica.","Patrona principal de México, de las Américas y de las Filipinas.","San Juan Diego"
"157","14/Diciembre","San Juan de la Cruz","24/06/1542","14/12/1591","España","Fontiveros (Ávila) / Úbeda","Sacerdote Carmelita Descalzo, Poeta Místico y Doctor de la Iglesia","Cofundador del Carmelo Descalzo junto a Santa Teresa. Sufrió meses de cruel prisión en Toledo donde compuso poemas sublimes como el 'Cántico Espiritual' y 'Noche Oscura del Alma'.","Llamado el 'Doctor Místico'. Máxima cumbre de la lírica poética en lengua castellana.","Familia Carmelitana"
"158","21/Diciembre","San Pedro Canisio","08/05/1521","21/12/1597","Países Bajos / Alemania / Suiza","Nimega / Friburgo","Sacerdote Jesuita y Doctor de la Iglesia","El 'Segundo Apóstol de Alemania'. Recorrió incansablemente Centroeuropa fundando colegios y editando tres célebres catecismos que preservaron la fe católica en tierras de habla alemana.","Primer jesuita holandés recibido en la orden por San Pedro Fabro.","—"
"159","23/Diciembre","San Juan Cancio","23/06/1390","24/12/1473","Polonia","Kęty / Cracovia","Sacerdote y Catedrático de Teología","Profesor distinguido de la Universidad Jaguelónica de Cracovia que compaginó el rigor de la cátedra con una caridad conmovedora, despojándose de sus abrigos para vestir a los mendigos.","Realizó cuatro peregrinaciones a pie a Roma cargando su propio equipaje.","Estudiantes y profesores de Cracovia"
"160","25/Diciembre","La Natividad del Señor","Año 1","—","Tierra Santa","Belén de Judá","Solemnidad Suprema del Nacimiento de Jesucristo","El Hijo único de Dios, Dios verdadero de Dios verdadero, se hace hombre en el seno virginal de María y nace en la pobreza de un pesebre de Belén para la salvación de toda la humanidad.","Gloria a Dios en las alturas y en la tierra paz a los hombres que ama el Señor.","—"
"161","26/Diciembre","San Esteban","Siglo I","34 d.C.","Tierra Santa","Jerusalén","Primer Diácono y Protomártir","Varón lleno de gracia y de poder. Primero de los siete diáconos elegidos por los apóstoles. Al contemplar los cielos abiertos fue lapidado orando: 'Señor Jesús, recibe mi espíritu, no les tengas en cuenta este pecado'.","Protomártir de la Iglesia universal; el joven Saulo (San Pablo) cuidaba las ropas de los verdugos.","—"
"162","28/Diciembre","Los Santos Inocentes","Siglo I a.C.","1 d.C.","Tierra Santa","Belén de Judá","Niños Mártires de Belén","Los infantes menores de dos años degollados en Belén por orden del tirano Herodes con la vana intención de matar al recién nacido Rey de los Judíos.","Flores primiciales de la Iglesia que dieron testimonio de Cristo no con palabras sino con su sangre.","—"
"163","29/Diciembre","San Tomás Becket","21/12/1118","29/12/1170","Inglaterra","Londres / Canterbury","Canciller y Arzobispo de Canterbury Mártir","Amigo y canciller del rey Enrique II que al ser consagrado arzobispo defendió intrépidamente los derechos y la libertad de la Iglesia frente a las intromisiones de la corona. Asesinado en el altar.","Cuatro caballeros reales lo degollaron en la misma catedral de Canterbury.","—"
"164","31/Diciembre","San Silvestre I","Siglo III","31/12/335","Italia","Roma","Papa de la Iglesia Católica","Gobernó la barca de Pedro durante el florecimiento de la paz constantiniana tras las sangrientas persecuciones. Bajo su pontificado se celebró el magno Concilio Ecuménico de Nicea (325).","Consagró las basílicas de San Juan de Letrán y San Pedro en el Vaticano.","—"
